,SHORTNAME,SECID,MEDIAN
0,АЛРОСА ао,ALRS,18274222
1,ETF AKMB,AKMB,37391335
2,ЭЛ5Энер ао,ELFV,106191568
3,Система ао,AFKS,36897301
4,Аэрофлот,AFLT,14647617
5,СТГ,CARM,12782631
6,GOLD ETF,GOLD,19161312
7,ГАЗПРОМ ао,GAZP,26088001
8,ДЭК ао,DVEC,8216341
9,МКБ ао,CBOM,33049806
10,Россети,FEES,3280773840
11,Совкомфлот,FLOT,12139307
