,SHORTNAME,SECID,VALUE
0,GOLD ETF,GOLD,38409326.1
1,ГАЗПРОМ ао,GAZP,11958.3
2,Аэрофлот,AFLT,395.66
3,ETF AKMB,AKMB,66802319.88
4,Система ао,AFKS,3221.44
5,Россети,FEES,5361.33
6,ЭЛ5Энер ао,ELFV,453.29
7,СТГ,CARM,22.41
