SECID,BOARDID,BID,BIDDEPTH,OFFER,OFFERDEPTH,SPREAD,BIDDEPTHT,OFFERDEPTHT,OPEN,LOW,HIGH,LAST,LASTCHANGE,LASTCHANGEPRCNT,QTY,VALUE,VALUE_USD,WAPRICE,LASTCNGTOLASTWAPRICE,WAPTOPREVWAPRICEPRCNT,WAPTOPREVWAPRICE,CLOSEPRICE,MARKETPRICETODAY,MARKETPRICE,LASTTOPREVPRICE,NUMTRADES,VOLTODAY,VALTODAY,VALTODAY_USD,ETFSETTLEPRICE,TRADINGSTATUS,UPDATETIME,LASTBID,LASTOFFER,LCLOSEPRICE,LCURRENTPRICE,MARKETPRICE2,NUMBIDS,NUMOFFERS,CHANGE,TIME,HIGHBID,LOWOFFER,PRICEMINUSPREVWAPRICE,OPENPERIODPRICE,SEQNUM,SYSTIME,CLOSINGAUCTIONPRICE,CLOSINGAUCTIONVOLUME,ISSUECAPITALIZATION,ISSUECAPITALIZATION_UPDATETIME,ETFSETTLECURRENCY,VALTODAY_RUR,TRADINGSESSION,TRENDISSUECAPITALIZATION
BRZL,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,2439.0,0,0,0,0,0,,N,06:32:17,,,,,,,,,06:32:17,,,,,20240527064718,2024-05-27 06:47:18,,,16795175300.0,00:00:00,,0,,0.0
BSPB,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,369.95,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,168650729826.6,00:00:00,,0,,-1598175880.0
BSPBP,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,55.9,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,1119570000.0,00:00:00,,0,,0.0
CARM,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,2.161,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,4690890210.83,00:00:00,,0,,0.0
CBOM,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,7.231,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,240025316837.88,00:00:00,,0,,0.0
CHGZ,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,143.2,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,3887210184.0,00:00:00,,0,,0.0
CHKZ,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,29200.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,17346242400.0,00:00:00,,0,,0.0
CHMF,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,1985.0,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,1667730308328.0,00:00:00,,0,,0.0
CHMK,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,7845.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,24568468050.0,00:00:00,,0,,0.0
CIAN,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,950.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,,,,0,,
