SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
HIMCP,TQBR,Химпром ап,29.6,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Химпром ПАО ап,,FNDT,EQIN,,0.02,29.4,SUR,2024-05-23,229631402,RU0009099006,Himprom ap,2-01-55076-D,29.56,SUR,2,3,2024-05-27
HNFG,TQBR,ХЭНДЕРСОН,740.4,1,50.0,A,Т+: Акции и ДР - безадрес.,1,ХЭНДЕРСОН ао,,FNDT,EQIN,,0.1,734.5,SUR,2024-05-23,40444445,RU000A106XF2,HENDERSON,1-01-03109-G,740.4,SUR,1,2,2024-05-27
HYDR,TQBR,РусГидро,0.722,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,"ПАО ""РусГидро""",,FNDT,EQIN,,0.0001,0.7206,SUR,2024-05-23,444793377038,RU000A0JPKH7,RusGidro,1-01-55038-E,0.7229,SUR,1,1,2024-05-27
IGST,TQBR,Ижсталь2ао,10860.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,Ижсталь ПАО ао 2в.,,FNDT,EQIN,,20.0,10900.0,SUR,2024-05-23,800729,RU0002155292,Izhstal 2ao,1-02-30078-D,10860.0,SUR,1,3,2024-05-27
IGSTP,TQBR,Ижсталь ап,8010.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,Ижсталь ПАО ап,,FNDT,EQIN,,10.0,8120.0,SUR,2024-05-23,266910,RU0002155300,Izhstal ap,2-02-30078-D,8010.0,SUR,2,3,2024-05-27
INGR,TQBR,ИНГРАД ао,1789.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,ИНГРАД ПАО ао,,FNDT,EQIN,,1.0,1795.0,SUR,2024-05-23,41220793,RU000A0DJ9B4,INGRAD,1-01-50020-A,1789.0,SUR,1,3,2024-05-27
IRAO,TQBR,ИнтерРАОао,4.37,100,2.809767,A,Т+: Акции и ДР - безадрес.,4,"""Интер РАО"" ПАО ао",,FNDT,EQIN,,0.0005,4.351,SUR,2024-05-23,104400000000,RU000A0JPNM1,Inter RAO ao,1-04-33498-E,4.356,SUR,1,1,2024-05-27
IRKT,TQBR,Яковлев-3,63.9,100,3.0,A,Т+: Акции и ДР - безадрес.,2,"""Яковлев"" ПАО ак.об.-3",,FNDT,EQIN,,0.05,64.3,SUR,2024-05-23,11686422311,RU0006752979,Yakovlev-3,1-03-00040-A,64.4,SUR,1,3,2024-05-27
JNOS,TQBR,Славн-ЯНОС,25.55,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Славнефть-ЯНОС (ПАО) ао,,FNDT,EQIN,,0.05,25.45,SUR,2024-05-23,932654723,RU0009100895,Slavneft-JANOS,1-01-00199-A,25.55,SUR,1,3,2024-05-27
JNOSP,TQBR,Слав-ЯНОСп,16.12,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Славнефть-ЯНОС (ПАО) ап,,FNDT,EQIN,,0.02,16.04,SUR,2024-05-23,310884574,RU0009101927,Slavneft-JANOS (pref),2-01-00199-A,16.12,SUR,2,3,2024-05-27
KAZT,TQBR,Куйбазот,622.0,10,1.0,A,Т+: Акции и ДР - безадрес.,1,Куйбышевазот ПАО ао,,FNDT,EQIN,,0.2,622.2,SUR,2024-05-23,234147999,RU000A0B9BV2,Kuib.Azot ao,1-01-00067-A,622.0,SUR,1,3,2024-05-27
KAZTP,TQBR,Куйбазот-п,643.5,10,1.0,A,Т+: Акции и ДР - безадрес.,1,Куйбышевазот ПАО ап,,FNDT,EQIN,,0.5,645.0,SUR,2024-05-23,3696506,RU000A0B9BW0,Kuibishevazot ap,2-01-00067-A,643.5,SUR,2,3,2024-05-27
KBSB,TQBR,ТНСэКубань,518.0,10,0.56,A,Т+: Акции и ДР - безадрес.,1,ТНС энерго Кубань ПАО ао,,FNDT,EQIN,,0.5,511.5,SUR,2024-05-23,17869440,RU000A0JNJ11,TNS energo Kuban Company,1-01-55218-E,518.0,SUR,1,3,2024-05-27
KCHE,TQBR,КамчатЭ ао,0.699,10000,0.1,A,Т+: Акции и ДР - безадрес.,3,Камчатскэнерго ПАО ао,,FNDT,EQIN,,0.001,0.689,SUR,2024-05-23,58294409860,RU0006753498,Kamchatskenergo,1-02-00235-A,0.685,SUR,1,3,2024-05-27
KCHEP,TQBR,КамчатЭ ап,1.285,10000,0.1,A,Т+: Акции и ДР - безадрес.,3,Камчатскэнерго ПАО ап,,FNDT,EQIN,,0.005,1.31,SUR,2024-05-23,183062052,RU0006753480,Kamchatskenergo (pref),2-02-00235-A,1.285,SUR,2,3,2024-05-27
KGKC,TQBR,КурганГКао,54.8,10,7.2,A,Т+: Акции и ДР - безадрес.,1,Курганская генер.комп.ПАО ао,,FNDT,EQIN,,0.2,55.2,SUR,2024-05-23,122453406,RU000A0JP120,Kurganskaja Gener.Kompanija,1-01-55226-E,54.8,SUR,1,3,2024-05-27
KGKCP,TQBR,КурганГКап,58.4,10,7.2,A,Т+: Акции и ДР - безадрес.,1,Курганская генер. комп. ПАО ап,,FNDT,EQIN,,0.2,58.4,SUR,2024-05-23,14393052,RU000A0JP138,Kurganskaja Gener.Kompanija ap,2-01-55226-E,58.6,SUR,2,3,2024-05-27
KLSB,TQBR,КалужскСК,29.76,100,0.2,A,Т+: Акции и ДР - безадрес.,2,"ао""Калужская сбыт.комп.""ПАО",,FNDT,EQIN,,0.01,29.74,SUR,2024-05-23,91487347,RU000A0DKZK3,Kalugsk. Sbyt. Company ao,1-01-65057-D,29.76,SUR,1,3,2024-05-27
KLVZ,TQBR,Кристалл,7.224,100,0.01,A,Т+: Акции и ДР - безадрес.,3,Алкогольная Группа Кристалл,,FNDT,EQIN,,0.002,7.206,SUR,2024-05-23,921052700,RU000A107KX0,KLVZ KRISTALL,1-01-05421-G,7.224,SUR,1,3,2024-05-27
KMAZ,TQBR,КАМАЗ,178.8,10,50.0,A,Т+: Акции и ДР - безадрес.,1,КАМАЗ ПАО,,FNDT,EQIN,,0.1,178.1,SUR,2024-05-23,707229559,RU0008959580,KAMAZ,1-08-55010-D,177.8,SUR,1,2,2024-05-27
KMEZ,TQBR,КМЗ,1626.0,1,250.0,A,Т+: Акции и ДР - безадрес.,0,Ковровский механический завод,,FNDT,EQIN,,2.0,1632.0,SUR,2024-05-23,3764600,RU0006753613,Kovrov Mech. Zavod,1-02-05376-A,1626.0,SUR,1,3,2024-05-27
KOGK,TQBR,КоршГОК ао,51400.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Коршуновский ГОК ПАО ао,,FNDT,EQIN,,200.0,51400.0,SUR,2024-05-23,250126,RU0002155359,Korshunovskii GOK,1-01-20992-F,51400.0,SUR,1,3,2024-05-27
KRKN,TQBR,СаратНПЗ,12500.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Саратовский НПЗ ПАО ао,,FNDT,EQIN,,50.0,12500.0,SUR,2024-05-23,748012,RU0009100408,Saratovskiy NPZ ao,1-01-00248-A,12500.0,SUR,1,3,2024-05-27
KRKNP,TQBR,СаратНПЗ-п,11360.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Саратовский НПЗ ПАО ап,,FNDT,EQIN,,20.0,11260.0,SUR,2024-05-23,249337,RU0009100416,Saratovskiy NPZ ap,2-01-00248-A,11260.0,SUR,2,3,2024-05-27
KRKOP,TQBR,ТКЗКК ап,14.68,100,1.0,A,Т+: Акции и ДР - безадрес.,2,ТКЗ Красный котельщик ПАО ап,,FNDT,EQIN,,0.02,14.58,SUR,2024-05-23,71086000,RU0009098131,TKZ Krasny Kotelshchik ap,2-01-30301-E,14.68,SUR,2,3,2024-05-27
KROT,TQBR,КрасОкт-ао,2758.0,10,1.0,A,Т+: Акции и ДР - безадрес.,0,"""КрасныйОктябрь"" ПАО - ао",,FNDT,EQIN,,1.0,2777.0,SUR,2024-05-23,9217583,RU0008913850,KrasnyiOctyabr,1-02-00060-A,2756.0,SUR,1,3,2024-05-27
KROTP,TQBR,КрасОкт-1п,801.0,10,1.0,A,Т+: Акции и ДР - безадрес.,0,КрасныйОктябрь-1п,,FNDT,EQIN,,1.0,797.0,SUR,2024-05-23,1474549,RU0008913868,KrasnyiOctabr-1(pr),2-01-00060-A,801.0,SUR,2,3,2024-05-27
