SECID,BOARDID,BID,BIDDEPTH,OFFER,OFFERDEPTH,SPREAD,BIDDEPTHT,OFFERDEPTHT,OPEN,LOW,HIGH,LAST,LASTCHANGE,LASTCHANGEPRCNT,QTY,VALUE,VALUE_USD,WAPRICE,LASTCNGTOLASTWAPRICE,WAPTOPREVWAPRICEPRCNT,WAPTOPREVWAPRICE,CLOSEPRICE,MARKETPRICETODAY,MARKETPRICE,LASTTOPREVPRICE,NUMTRADES,VOLTODAY,VALTODAY,VALTODAY_USD,ETFSETTLEPRICE,TRADINGSTATUS,UPDATETIME,LASTBID,LASTOFFER,LCLOSEPRICE,LCURRENTPRICE,MARKETPRICE2,NUMBIDS,NUMOFFERS,CHANGE,TIME,HIGHBID,LOWOFFER,PRICEMINUSPREVWAPRICE,OPENPERIODPRICE,SEQNUM,SYSTIME,CLOSINGAUCTIONPRICE,CLOSINGAUCTIONVOLUME,ISSUECAPITALIZATION,ISSUECAPITALIZATION_UPDATETIME,ETFSETTLECURRENCY,VALTODAY_RUR,TRADINGSESSION,TRENDISSUECAPITALIZATION
AVAN,TQBR,,,,,0,0,0,939.0,908.0,949.0,919.0,0,0,1,919.0,10.24,929.0,0,-0.64,-6.0,,929.0,935.0,-2.13,1067,9463,8789829,97989,,N,23:50:04,,,919.0,919.0,929.0,,,-20.0,18:48:17,,,-16.0,,20240526000501,2024-05-26 00:05:01,919.0,17.0,74163300000.0,18:48:17,,8789829,,0.0
BANE,TQBR,,,,,0,0,0,3087.0,2980.0,3095.0,3051.5,0,0,1,3051.5,34.02,3036.5,0,-1.43,-44.0,,3037.0,3082.5,-0.34,8304,85689,260174268,2900409,,N,23:50:05,,,3033.5,3047.5,3037.0,,,-10.5,23:49:42,,,-29.0,3033.5,20240526000501,2024-05-26 00:05:01,3033.5,16.0,451153561183.5,23:49:42,,260174268,,0.0
BANEP,TQBR,,,,,0,0,0,2276.0,2200.0,2315.0,2256.5,0,0,23,51899.5,578.57,2259.0,0,-1.09,-25.0,,2260.0,2284.0,-1.29,11289,277665,627190295,6991885,,N,23:50:05,,,2254.0,2254.5,2260.0,,,-29.5,23:49:57,,,-27.5,2259.5,20240526000501,2024-05-26 00:05:01,2254.0,53.0,67216649078.0,23:49:57,,627190295,,0.0
BELU,TQBR,,,,,0,0,0,5730.0,5601.0,5763.0,5627.0,0,0,11,61897.0,690.02,5664.0,0,-0.46,-26.0,,5665.0,5680.0,-1.47,19236,65992,373762067,4166680,,N,23:50:05,,,5675.0,5629.0,5665.0,,,-84.0,23:49:53,,,-63.0,5677.0,20240526000501,2024-05-26 00:05:01,5675.0,99.0,88906600000.0,23:49:53,,373762067,,0.0
BISVP,TQBR,,,,,0,0,0,14.47,13.81,14.49,13.88,0,0,1,1388.0,15.47,14.06,0,-1.4,-0.2,,14.06,14.26,-3.14,141,76700,1078656,12025,,N,23:50:04,,,13.88,13.88,14.06,,,-0.45,18:45:05,,,-0.38,,20240526000501,2024-05-26 00:05:01,13.88,100.0,501973947.6,18:45:05,,1078656,,0.0
BLNG,TQBR,,,,,0,0,0,27.78,26.405,27.88,26.75,0,0,1,2675.0,29.82,26.95,0,-3.06,-0.85,,26.95,27.8,-3.03,959,661500,17828021,198746,,N,23:50:04,,,26.75,26.75,26.95,,,-0.835,18:49:32,,,-1.05,27.78,20240526000501,2024-05-26 00:05:01,26.75,7200.0,30762500000.0,18:49:32,,17828021,,0.0
BRZL,TQBR,,,,,0,0,0,2383.0,2357.0,2500.0,2390.0,0,0,1,2390.0,26.64,2439.0,0,2.26,54.0,,2439.0,2385.0,0.97,1646,11026,26890853,299778,,N,23:50:04,,,2390.0,2388.0,2439.0,,,23.0,18:45:38,,,5.0,2383.0,20240526000501,2024-05-26 00:05:01,2390.0,48.0,16795175300.0,18:45:38,,26890853,,0.0
BSPB,TQBR,,,,,0,0,0,370.5,362.95,375.0,368.6,0,0,21,77406.0,862.92,369.86,0,0.75,2.77,,369.95,366.28,-0.52,13929,1388370,513496497,5724433,,N,23:50:05,,,369.75,368.38,369.95,,,-1.92,23:49:33,,,1.51,369.77,20240526000501,2024-05-26 00:05:01,369.75,1770.0,170248905706.6,23:49:33,,513496497,,0.0
BSPBP,TQBR,,,,,0,0,0,56.95,54.6,57.5,55.7,0,0,4,22280.0,248.38,55.9,0,-1.93,-1.1,,55.9,57.0,-1.33,426,149500,8360190,93199,,N,23:50:04,,,55.65,55.65,55.9,,,-0.75,18:37:23,,,-1.3,56.95,20240526000501,2024-05-26 00:05:01,55.65,,1119570000.0,18:37:23,,8360190,,0.0
CARM,TQBR,,,,,0,0,0,2.2165,2.1105,2.217,2.129,0,0,6,1277.4,14.24,2.157,0,-2.51,-0.0555,,2.161,2.2125,-3.9,6964,24817200,53532815,596781,,N,23:50:05,,,2.12,2.13,2.161,,,-0.0865,23:49:53,,,-0.0835,2.12,20240526000501,2024-05-26 00:05:01,2.12,20700.0,4690890210.83,23:49:53,,53532815,,0.0
CBOM,TQBR,,,,,0,0,0,7.228,7.16,7.308,7.18,0,0,10,7180.0,80.04,7.23,0,0.19,0.014,,7.231,7.215,-0.66,3417,5436000,39299788,438112,,N,23:50:05,,,7.262,7.18,7.231,,,-0.048,23:49:40,,,-0.036,7.228,20240526000501,2024-05-26 00:05:01,7.262,100.0,240025316837.88,23:49:40,,39299788,,0.0
CHGZ,TQBR,,,,,0,0,0,146.0,141.0,147.0,145.2,0,0,1,1452.0,16.19,143.2,0,-0.97,-1.4,,143.2,144.6,-0.27,124,6430,920816,10265,,N,23:50:04,,,143.0,143.0,143.2,,,-0.4,18:37:22,,,0.6,,20240526000501,2024-05-26 00:05:01,143.0,,3887210184.0,18:37:22,,920816,,0.0
CHKZ,TQBR,,,,,0,0,0,29650.0,28650.0,30150.0,28900.0,0,0,4,115600.0,1288.7,29200.0,0,-3.79,-1150.0,,29200.0,30350.0,-2.03,92,161,4704550,52446,,N,23:50:04,,,28900.0,28900.0,29200.0,,,-600.0,18:45:11,,,-1450.0,,20240526000501,2024-05-26 00:05:01,28900.0,9.0,17346242400.0,18:45:11,,4704550,,0.0
CHMF,TQBR,,,,,0,0,0,1997.6,1968.2,2002.4,1990.8,0,0,2,3981.6,44.39,1985.2,0,-0.54,-10.8,,1985.0,1996.2,-0.34,20271,722088,1433516748,15980771,,N,23:50:05,,,1980.0,1991.0,1985.0,,,-6.8,23:49:54,,,-5.2,1980.0,20240526000501,2024-05-26 00:05:01,1980.0,1157.0,1667730308328.0,23:49:54,,1433516748,,0.0
